Warning: truncated output (original token count: 98787)
Total output lines: 1001

rank,category,title,original_title,year,end_year,title_type,runtime_minutes,genres,imdb_id,imdb_rating,imdb_votes,popularity_score,confidence,ranking_basis,nl_signal,nl_alias,nl_alias_count,nl_boxoffice_rank,nl_boxoffice_visits_thousands,trakt_id,tmdb_id,trakt_rank,trakt_list_rank,trakt_watchers,trakt_plays,trakt_collected,language,country,studio_or_network,age_rating_raw,age_category,age_rating_source,metadata_confidence,inclusion_reason,metadata_source,source_trakt,source_imdb,source_nl
36,film,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,2001,,movie,178,"Adventure,Drama,Fantasy",tt0120737,8.9,2224219,99.9826,high,NVPI Nederlandse bioscoopbezoekers,IMDb NL alternate title,In de ban van de ring: De reisgenoten,1,36,1939,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,https://www.imdb.com/title/tt0120737/,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
37,film,The Jungle Book,The Jungle Book,1967,,movie,78,"Adventure,Animation,Comedy",tt0061852,7.6,214705,99.9821,high,NVPI Nederlandse bioscoopbezoekers,IMDb NL alternate title,Jungle Boek,1,37,1921,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,https://www.imdb.com/title/tt0061852/,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
38,film,Gooische Vrouwen,Gooische Vrouwen,2011,,movie,,,,,,99.9816,high,NVPI Nederlandse bioscoopbezoekers,Official NVPI Dutch cinema attendance ranking,,0,38,1920,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
39,film,Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,2002,,movie,161,"Adventure,Family,Fantasy",tt0295297,7.5,772584,99.9811,high,NVPI Nederlandse bioscoopbezoekers,IMDb NL alternate title,Harry Potter en de geheime kamer,1,39,1904,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,https://www.imdb.com/title/tt0295297/,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
40,film,For Your Eyes Only,For Your Eyes Only,1981,,movie,127,"Action,Adventure,Thriller",tt0082398,6.7,117182,99.9806,high,NVPI Nederlandse bioscoopbezoekers,IMDb NL alternate title,For Your Eyes Only,1,40,1889,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,https://www.imdb.com/title/tt0082398/,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
41,film,Avatar,Avatar,2009,,movie,162,"Action,Adventure,Fantasy",tt0499549,7.9,1509401,99.9801,high,NVPI Nederlandse bioscoopbezoekers,IMDb NL alternate title,Avatar,1,41,1849,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,https://www.imdb.com/title/tt0499549/,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
42,film,Barbie,Barbie,2023,,movie,114,"Adventure,Comedy,Fantasy",tt1517268,6.8,699685,99.9796,high,NVPI Nederlandse bioscoopbezoekers,IMDb NL alternate title,Barbie,1,42,1835,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,https://www.imdb.com/title/tt1517268/,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
43,film,Keetje Tippel,Keetje Tippel,1975,,movie,,,,,,99.9791,high,NVPI Nederlandse bioscoopbezoekers,Official NVPI Dutch cinema attendance ranking,,0,43,1829,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
44,film,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,2002,,movie,179,"Adventure,Drama,Fantasy",tt0167261,8.8,1972805,99.9786,high,NVPI Nederlandse bioscoopbezoekers,IMDb NL alternate title,In de ban van de ring: De twee torens,1,44,1784,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,https://www.imdb.com/title/tt0167261/,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
45,film,No Time to Die,No Time to Die,2021,,movie,163,"Action,Adventure,Thriller",tt2382320,7.3,491843,99.9781,high,NVPI Nederlandse bioscoopbezoekers,IMDb NL alternate title,No Time to Die,1,45,1765,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,https://www.imdb.com/title/tt2382320/,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
46,film,The Spy Who Loved Me,The Spy Who Loved Me,1977,,movie,125,"Action,Adventure,Thriller",tt0076752,7.0,126102,99.9776,high,NVPI Nederlandse bioscoopbezoekers,IMDb NL alternate title,The Spy Who Loved Me,1,46,1746,,,,,,,,,,,,,,low,Nederlandse bioscoop-top 50 (NVPI),,,https://www.imdb.com/title/tt0076752/,https://www.nvpi.nl/film/bezoek-en-boxoffice/1729496280
