Warning: truncated output (original token count: 98787)
Total output lines: 1001

rank,category,title,original_title,year,end_year,title_type,runtime_minutes,genres,imdb_id,imdb_rating,imdb_votes,popularity_score,confidence,ranking_basis,nl_signal,nl_alias,nl_alias_count,nl_boxoffice_rank,nl_boxoffice_visits_thousands,trakt_id,tmdb_id,trakt_rank,trakt_list_rank,trakt_watchers,trakt_plays,trakt_collected,language,country,studio_or_network,age_rating_raw,age_category,age_rating_source,metadata_confidence,inclusion_reason,metadata_source,source_trakt,source_imdb,source_nl
871,film,Valerian and the City of a Thousand Planets,Valerian and the City of a Thousand Planets,2017,,movie,136,"Action,Adventure,Fantasy",tt2239822,6.4,210708,0.0697,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Valerian and the City of a Thousand Planets,1,,,220423,339964,693,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt2239822/,
872,film,Longlegs,Longlegs,2024,,movie,101,"Crime,Horror,Mystery",tt23468450,6.5,230158,0.0687,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Longlegs,1,,,991188,1226578,695,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt23468450/,
873,film,Gemini Man,Gemini Man,2019,,movie,117,"Action,Sci-Fi,Thriller",tt1025100,5.7,132070,0.0682,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Gemini Man,1,,,299929,453405,696,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt1025100/,
874,film,Smile,Smile,2022,,movie,115,"Horror,Mystery,Thriller",tt15474916,6.5,246044,0.0677,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Smile,1,,,706971,882598,697,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt15474916/,
875,film,War of the Worlds,War of the Worlds,2005,,movie,117,"Action,Adventure,Sci-Fi",tt0407304,6.6,511129,0.0672,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Oorlog van de werelden,2,,,44,74,698,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0407304/,
876,film,The Terminal,The Terminal,2004,,movie,128,"Comedy,Drama,Romance",tt0362227,7.4,539478,0.0667,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,The Terminal,1,,,472,594,699,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0362227/,
877,film,Space Jam,Space Jam,1996,,movie,88,"Adventure,Animation,Comedy",tt0117705,6.5,230563,0.0662,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Space Jam,1,,,1621,2300,700,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0117705/,
878,film,Enola Holmes 2,Enola Holmes 2,2022,,movie,129,"Action,Adventure,Crime",tt14641788,6.8,125014,0.0657,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Enola Holmes 2,1,,,661649,829280,701,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt14641788/,
879,film,Pacific Rim: Uprising,Pacific Rim: Uprising,2018,,movie,111,"Action,Adventure,Sci-Fi",tt2557478,5.6,138393,0.0652,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Pacific Rim: Uprising,1,,,167163,268896,702,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt2557478/,
880,film,Inferno,Inferno,2016,,movie,121,"Action,Adventure,Crime",tt3062096,6.2,203614,0.0647,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Inferno,1,,,129013,207932,703,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt3062096/,
881,film,Ace Ventura: Pet Detective,Ace Ventura: Pet Detective,1994,,movie,86,Comedy,tt0109040,6.9,356517,0.0642,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Ace Ventura: Pet Detective,1,,,2026,3049,704,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0109040/,
882,film,Atomic Blonde,Atomic Blonde,2017,,movie,115,"Action,Adventure,Thriller",tt2406566,6.7,221233,0.0637,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Atomic Blonde,1,,,224157,341013,705,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt2406566/,
883,film,Legally Blonde,Legally Blonde,2001,,movie,96,"Comedy,Romance",tt0250494,6.5,290662,0.0632,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Legally Blonde,1,,,4326,8835,706,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0250494/,
884,film,Sully,Sully,2016,,movie,96,"Biography,Drama,History",tt3263904,7.4,324564,0.0627,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Sully,1,,,241110,363676,707,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt3263904/,
885,film,Rebel Moon - Part One: A Child of Fire,Rebel Moon - Part One: A Child of Fire,2023,,movie,133,"Action,Adventure,Drama",tt14998742,5.6,141706,0.0622,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",No direct NL signal; IMDb global popularity proxy,,0,,,677824,848326,708,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt14998742/,
886,film,The Goonies,The Goonies,1985,,movie,114,"Adventure,Comedy,Family",tt0089218,7.7,328958,0.0617,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,The Goonies,1,,,4633,9340,709,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0089218/,
887,film,Disclosure Day,Disclosure Day,2026,,movie,145,"Action,Drama,Mystery",tt15047880,6.5,123531,0.0612,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",No direct NL signal; IMDb global popularity proxy,,0,,,1036433,1275779,710,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt15047880/,
888,film,Friends with Benefits,Friends with Benefits,2011,,movie,109,"Comedy,Romance",tt1632708,6.5,422341,0.0607,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Friends with Benefits,1,,,35353,50544,711,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt1632708/,
889,film,Backrooms,Backrooms,2026,,movie,110,"Horror,Sci-Fi,Thriller",tt26657236,6.8,160228,0.0602,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",No direct NL signal; IMDb global popularity proxy,,0,,,870815,1083381,712,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt26657236/,
890,film,Warcraft,Warcraft,2016,,movie,123,"Action,Adventure,Fantasy",tt0803096,6.7,297147,0.0598,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Warcraft: The Beginning,1,,,50145,68735,713,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0803096/,
891,film,Easy A,Easy A,2010,,movie,92,"Comedy,Drama,Romance",tt1282140,7.0,446132,0.0593,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Easy A,1,,,24230,37735,714,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt1282140/,
892,film,Rocky,Rocky,1976,,movie,120,"Drama,Sport",tt0075148,8.1,696762,0.0588,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Rocky,1,,,905,1366,715,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0075148/,
893,film,Kung Fu Panda 4,Kung Fu Panda 4,2024,,movie,94,"Action,Adventure,Animation",tt21692408,6.3,84529,0.0583,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",No direct NL signal; IMDb global popularity proxy,,0,,,813333,1011985,716,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt21692408/,
894,film,The Man from U.N.C.L.E.,The Man from U.N.C.L.E.,2015,,movie,116,"Action,Adventure,Comedy",tt1638355,7.2,358609,0.0578,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,The Man from U.N.C.L.E.,1,,,126852,203801,717,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt1638355/,
895,film,Madagascar 3: Europe's Most Wanted,Madagascar 3: Europe's Most Wanted,2012,,movie,93,"Adventure,Animation,Comedy",tt1277953,6.8,219961,0.0573,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Madagascar 3: Op avontuur in Europa,1,,,59799,80321,718,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt1277953/,
896,film,The Perks of Being a Wallflower,The Perks of Being a Wallflower,2012,,movie,103,Drama,tt1659337,7.9,602420,0.0568,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,The Perks of Being a Wallflower,1,,,63693,84892,719,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt1659337/,
897,film,Palm Springs,Palm Springs,2020,,movie,90,"Comedy,Fantasy,Mystery",tt9484998,7.4,217154,0.0558,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Palm Springs,1,,,439986,587792,721,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt9484998/,
898,film,Hotel Transylvania 3: Summer Vacation,Hotel Transylvania 3: Summer Vacation,2018,,movie,97,"Adventure,Animation,Comedy",tt5220122,6.3,101364,0.0553,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Hotel Transylvania 3: A Monster Vacation,1,,,269585,400155,722,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt5220122/,
899,film,Pixels,Pixels,2015,,movie,105,"Action,Adventure,Comedy",tt2120120,5.6,182026,0.0543,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Pixels,1,,,157093,257344,724,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt2120120/,
900,film,Upgrade,Upgrade,2018,,movie,100,"Action,Sci-Fi,Thriller",tt6499752,7.5,236570,0.0538,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Upgrade,1,,,347587,500664,725,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt6499752/,
901,film,Life,Life,2017,,movie,104,"Horror,Sci-Fi,Thriller",tt5442430,6.6,278890,0.0533,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Life,1,,,238825,395992,726,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt5442430/,
902,film,Mufasa: The Lion King,Mufasa: The Lion King,2024,,movie,118,"Adventure,Animation,Drama",tt13186482,6.6,83935,0.0528,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Mufasa: The Lion King,1,,,600937,762509,727,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt13186482/,
903,film,Moonfall,Moonfall,2022,,movie,130,"Action,Adventure,Sci-Fi",tt5834426,5.2,114775,0.0523,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Moonfall,1,,,250807,406759,728,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt5834426/,
904,film,The Long Walk,The Long Walk,2025,,movie,108,"Horror,Thriller",tt10374610,6.6,138291,0.0518,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,The Long Walk,1,,,449045,604079,729,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt10374610/,
905,film,White Chicks,White Chicks,2004,,movie,109,"Comedy,Crime",tt0381707,5.9,197989,0.0513,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,White Chicks,1,,,7068,12153,730,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0381707/,
906,film,Tropic Thunder,Tropic Thunder,2008,,movie,107,"Action,Comedy,War",tt0942385,7.1,494625,0.0508,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Tropic Thunder,1,,,3907,7446,731,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0942385/,
907,film,The Chronicles of Narnia: Prince Caspian,The Chronicles of Narnia: Prince Caspian,2008,,movie,150,"Action,Adventure,Family",tt0499448,6.5,240743,0.0498,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,De Kronieken van Narnia: Prins Caspian,1,,,1721,2454,733,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0499448/,
908,film,Mrs. Doubtfire,Mrs. Doubtfire,1993,,movie,125,"Comedy,Drama,Family",tt0107614,7.1,318596,0.0493,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Mrs. Doubtfire,1,,,631,788,734,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0107614/,
909,film,War Dogs,War Dogs,2016,,movie,114,"Biography,Comedy,Crime",tt2005151,7.1,304833,0.0488,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,War Dogs,1,,,217987,308266,735,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt2005151/,
910,film,Mortal Engines,Mortal Engines,2018,,movie,128,"Action,Adventure,Fantasy",tt1571234,6.1,154313,0.0483,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Mortal Engines,1,,,285120,428078,736,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt1571234/,
911,film,Gran Turismo,Gran Turismo,2023,,movie,134,"Action,Adventure,Drama",tt4495098,7.1,137662,0.0478,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",No direct NL signal; IMDb global popularity proxy,,0,,,787984,980489,737,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt4495098/,
912,film,8 Mile,8 Mile,2002,,movie,110,"Drama,Music",tt0298203,7.2,353776,0.0473,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,8 Mile,1,,,36,65,738,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0298203/,
913,film,Love and Monsters,Love and Monsters,2020,,movie,109,"Action,Adventure,Comedy",tt2222042,6.9,161237,0.0468,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Monster problemen,1,,,436962,590223,739,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt2222042/,
914,film,Dumb and Dumber,Dumb and Dumber,1994,,movie,107,Comedy,tt0109686,7.3,445895,0.0463,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Dumb and Dumber,1,,,4219,8467,740,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0109686/,
915,film,Bad Boys II,Bad Boys II,2003,,movie,147,"Action,Comedy,Crime",tt0172156,6.6,289880,0.0458,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Bad Boys II,1,,,4429,8961,741,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0172156/,
916,film,Pocahontas,Pocahontas,1995,,movie,81,"Adventure,Animation,Drama",tt0114148,6.7,219177,0.0453,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Pocahontas,1,,,5708,10530,742,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0114148/,
917,film,Terminator 3: Rise of the Machines,Terminator 3: Rise of the Machines,2003,,movie,109,"Action,Sci-Fi",tt0181852,6.3,439145,0.0448,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Terminator 3: Rise of the Machines,1,,,249,296,743,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0181852/,
918,film,Cinderella,Cinderella,1950,,movie,74,"Animation,Family,Fantasy",tt0042332,7.3,188562,0.0443,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Assepoester,1,,,6350,11224,744,,,,,,,Disney,,,,high,Trakt all-time watched,curated studio mapping,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0042332/,
919,film,Red Sparrow,Red Sparrow,2018,,movie,140,"Action,Drama,Thriller",tt2873282,6.6,218962,0.0438,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Red Sparrow,1,,,254340,401981,745,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt2873282/,
920,film,Mamma Mia!,Mamma Mia!,2008,,movie,108,"Comedy,Musical,Romance",tt0795421,6.5,309911,0.0433,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Mamma Mia!,1,,,6707,11631,746,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0795421/,
921,film,The 40-Year-Old Virgin,The 40 Year Old Virgin,2005,,movie,116,"Comedy,Romance",tt0405422,7.1,505571,0.0428,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,The 40 Year Old Virgin,1,,,3778,6957,747,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0405422/,
922,film,Hellboy,Hellboy,2004,,movie,122,"Action,Adventure,Fantasy",tt0167190,6.9,372140,0.0423,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Hellboy,1,,,981,1487,748,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0167190/,
923,film,The Dictator,The Dictator,2012,,movie,83,Comedy,tt1645170,6.5,371069,0.0418,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,The Dictator,1,,,56495,76493,749,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt1645170/,
924,film,Die Hard 2,Die Hard 2,1990,,movie,124,"Action,Thriller",tt0099423,7.2,408736,0.0413,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Die Hard: Die Harder,1,,,1030,1573,750,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0099423/,
925,film,Click,Click,2006,,movie,107,"Comedy,Drama,Fantasy",tt0389860,6.5,390717,0.0408,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Click,1,,,4632,9339,751,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0389860/,
926,film,Ocean's Thirteen,Ocean's Thirteen,2007,,movie,122,"Crime,Thriller",tt0496806,6.9,389019,0.0403,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Ocean's Thirteen,1,,,251,298,752,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0496806/,
927,film,Meg 2: The Trench,Meg 2: The Trench,2023,,movie,116,"Action,Adventure,Horror",tt9224104,5.0,104076,0.0398,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",No direct NL signal; IMDb global popularity proxy,,0,,,458953,615656,753,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt9224104/,
928,film,The Purge,The Purge,2013,,movie,85,"Horror,Sci-Fi,Thriller",tt2184339,5.8,262357,0.0393,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,The Purge,1,,,102526,158015,754,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt2184339/,
929,film,Gremlins,Gremlins,1984,,movie,106,"Comedy,Fantasy,Horror",tt0087363,7.3,276186,0.0388,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Gremlins,1,,,769,927,755,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0087363/,
930,film,Bright,Bright,2017,,movie,117,"Action,Fantasy,Thriller",tt5519340,6.3,210466,0.0378,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Bright,1,,,264716,400106,757,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt5519340/,
931,film,Matilda,Matilda,1996,,movie,98,"Comedy,Family,Fantasy",tt0117008,7.0,197723,0.0373,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Matilda,1,,,5987,10830,758,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0117008/,
932,film,Batman,Batman,1989,,movie,126,Crime,tt0096895,7.5,434158,0.0363,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Batman,1,,,224,268,760,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0096895/,
933,film,Fantastic Four,Fantastic Four,2015,,movie,100,"Action,Adventure,Animation",tt1502712,4.3,194294,0.0359,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Fantastic Four,1,,,106666,166424,761,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt1502712/,
934,film,Hitman's Wife's Bodyguard,Hitman's Wife's Bodyguard,2021,,movie,100,"Action,Comedy,Crime",tt8385148,6.1,120432,0.0354,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Hitman's Wife's Bodyguard,1,,,371065,522931,762,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt8385148/,
935,film,The Cabin in the Woods,The Cabin in the Woods,2011,,movie,95,"Horror,Mystery,Thriller",tt1259521,7.0,493646,0.0349,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,The Cabin in the Woods,1,,,13937,22970,763,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt1259521/,
936,film,Army of the Dead,Army of the Dead,2021,,movie,148,"Action,Adventure,Crime",tt0993840,5.8,202070,0.0344,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Army of the Dead,1,,,350970,503736,764,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0993840/,
937,film,Die Hard with a Vengeance,Die Hard with a Vengeance,1995,,movie,128,"Action,Adventure,Thriller",tt0112864,7.6,432119,0.0334,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Die Hard with a Vengeance,1,,,1029,1572,766,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0112864/,
938,film,Grown Ups,Grown Ups,2010,,movie,102,Comedy,tt1375670,6.0,316829,0.0329,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Grown Ups,1,,,24772,38365,767,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt1375670/,
939,film,Bee Movie,Bee Movie,2007,,movie,91,"Adventure,Animation,Comedy",tt0389790,6.1,199392,0.0319,low,"Trakt all-time watched; globale Trakt-bron, niet uitsluitend Nederlandse kijkcijfers",IMDb NL alternate title,Bee Movie,1,,,3144,5559,769,,,,,,,,,,,low,Trakt all-time watched,,https://trakt.tv/movies/watched/all,https://www.imdb.com/title/tt0389790/,
